名称,出现地点,鱼影,价格
红目鲫,河流,SS,900
溪哥,河流,SS,200
鲫鱼,河流,S,160
雅罗鱼,河流,M,240
鲤鱼,池塘,L,300
锦鲤,池塘,L,4000
金鱼,池塘,SS,1300
龙睛金鱼,池塘,SS,1300
稻田鱼,池塘,SS,300
淡水龙虾,池塘,S,200
鳖,河流,L,3750
蝌蚪,池塘,SS,100
青蛙,池塘,S,120
塘鳢鱼,河流,S,400
泥鳅,河流,S,400
鲶鱼,池塘,L,800
黑鱼,池塘,L,5500
蓝腮太阳鱼,河流,S,180
黄鲈鱼,河流,M,300
黑鲈鱼,河流,L,400
白斑狗鱼,河流,LL,1800
西太公鱼,河流,S,400
香鱼,河流,M,900
樱花钩吻鲑,悬崖上,M,1000
花羔红点鲑,悬崖上,M,3800
远东哲罗鱼,悬崖上,LL,15000
鲑鱼,出海口,L,700
帝王鲑,出海口,LL,1800
中华绒螯蟹,河流,S,2000
孔雀鱼,河流,SS,1300
温泉医生鱼,河流,SS,1500
神仙鱼,河流,S,3000
霓虹灯鱼,河流,SS,500
食人鱼,河流,S,2500
骨舌鱼,河流,L,10000
黄金河虎,河流,LL,15000
雀鳝,池塘,LL,6000
巨骨舌鱼,河流,LLL,10000
恩氏多鳍鱼,河流,L,4000
海蝴蝶,大海,SS,1000
海马,大海,SS,1100
小丑鱼,大海,SS,650
拟刺尾鲷,大海,S,1000
耳带蝴蝶鱼,大海,S,1000
苏眉鱼,大海,LLL,10000
狮子鱼,大海,M,500
河豚,大海,M,5000
刺豚,大海,M,250
竹荚鱼,大海,S,150
条石鲷,大海,M,5000
鲈鱼,大海,LL,400
鲷鱼,大海,L,3000
鲽鱼,大海,M,300
比目鱼,大海,LL,800
鱿鱼,大海,M,500
裸胸鳝,大海,U,2000
五彩鳗,大海,U,600
灯笼鱼,大海,L,2500
鲔鱼,码头,LLL,7000
旗鱼,码头,LLL,10000
白面弄鱼,码头,LL,4500
鳐鱼,大海,LL,3000
翻车鱼,大海,J,4000
双髻鲨,大海,J,8000
鲨鱼,大海,J,15000
锯鲨,大海,J,12000
鲸鲨,大海,J,13000
皇带鱼,大海,LLL,9000
矛尾鱼,大海,LLL,15000
鲟鱼,出海口,LLL,10000
吴郭鱼,河流,M,800
斗鱼,河流,S,2500
拟鳄龟,河流,L,5000
金鳟,悬崖上,M,15000
彩虹鱼,河流,SS,800
凤尾鱼,大海,S,200
鬼头刀,码头,LL,6000
吸盘鱼,大海,K,1500
太平洋桶眼鱼,大海,S,15000
兰寿金鱼,池塘,S,4500
